Competition Year,Team,Team Seed,Draw,Relative Draw,Athlete Name,Delivery,Player Position,,In Turn Draws,Percent,Out-Turn Draws,Percent,Total,Total Percent,,In-Turn Hits,Percent,Out-Turn Hits,Percent,Total,Total Perent,,In-Turns,Percent,Out-Turns,Percent,Total,Overall Perent
2016,manitoba,1,17,1,Colton Lott,Right,Third,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2016,manitoba,1,17,1,Kyle Doering,Right,Second,,52,89%,24,88%,76,89%,,75,90%,65,92%,140,91%,,127,90%,89,91%,216,90%
2016,manitoba,1,17,1,Rob Gordon,Right,Lead,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2016,new brunswick,3,15,1,Alex Robichaud,,Fourth,,39,63%,49,73%,88,68%,,44,71%,52,80%,96,76%,,83,67%,101,77%,184,72%
2016,new brunswick,3,15,1,Ian McKinley,Right,Third,,43,71%,40,73%,83,72%,,46,77%,57,77%,103,77%,,89,74%,97,76%,186,75%
2016,new brunswick,3,15,1,Donovan Lanteigne,Right,Second,,25,60%,49,74%,74,69%,,45,87%,49,76%,94,81%,,70,77%,98,75%,168,76%
2016,new brunswick,3,15,1,Peter Robichaud,Right,Lead,,79,84%,82,71%,161,77%,,17,88%,8,88%,25,88%,,96,85%,90,73%,186,79%
2016,newfoundland & labrador,6,14,1,Ryan McNeil Lamswood,Right,Third,,36,74%,46,72%,82,73%,,34,73%,42,74%,76,74%,,70,74%,88,73%,158,73%
2016,newfoundland & labrador,6,14,1,Kyle Barron,Right,Second,,39,59%,46,77%,85,69%,,29,68%,44,75%,73,72%,,68,63%,90,76%,158,70%
2016,newfoundland & labrador,6,14,1,Craig Laing,,Lead,,34,65%,101,84%,135,79%,,7,61%,12,79%,19,72%,,41,65%,113,83%,154,78%
2016,northern ontario,2,17,1,Tanner Horgan,Right,Fourth,,30,71%,55,83%,85,79%,,61,84%,57,84%,118,84%,,91,79%,112,83%,203,82%
2016,northern ontario,2,17,1,Jacob Horgan,Right,Third,,30,75%,32,72%,62,73%,,56,80%,88,90%,144,86%,,86,78%,120,85%,206,82%
2016,northern ontario,2,17,1,Nick Bissonnette,Right,Second,,27,83%,33,81%,60,82%,,53,85%,93,79%,146,81%,,80,84%,126,79%,206,81%
2016,northern ontario,2,17,1,Maxime Blais,Right,Lead,,29,78%,143,85%,172,84%,,10,90%,21,81%,31,84%,,39,81%,164,85%,203,84%
2016,northwest territories,6,14,1,Brady St. Louis,Right,alternate,,7,57%,3,8%,10,43%,,4,56%,2,38%,6,50%,,11,57%,5,20%,16,45%
2016,northwest territories,6,14,1,Matthew Miller,Right,Fourth,,44,50%,44,49%,88,49%,,33,57%,30,57%,63,57%,,77,53%,74,52%,151,52%
2016,northwest territories,6,14,1,Randy Hiebert,Right,Third,,53,66%,41,78%,94,71%,,13,42%,23,53%,36,49%,,66,61%,64,69%,130,65%
2016,northwest territories,6,14,1,Logan Gagnier,Right,Second,,38,38%,54,51%,92,46%,,31,60%,31,52%,62,56%,,69,47%,85,52%,154,50%
2016,northwest territories,6,14,1,Deklan Crocker,Right,Lead,,61,62%,48,56%,109,59%,,18,63%,28,58%,46,60%,,79,62%,76,57%,155,59%
2016,nova scotia,5,15,1,Matthew Manuel,Right,Fourth,,31,75%,51,75%,82,75%,,29,77%,45,81%,74,79%,,60,76%,96,78%,156,77%
2016,nova scotia,5,15,1,Nick Zachernuk,Right,Third,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2016,nova scotia,5,15,1,Ryan Abraham,Right,Second,,30,70%,36,80%,66,75%,,49,73%,43,70%,92,72%,,79,72%,79,74%,158,73%
2016,nova scotia,5,15,1,Alec Cameron,Right,Lead,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2016,nunavut,7,13,1,Arthur Siksik,Right,Fourth,,49,33%,32,32%,81,32%,,45,52%,20,36%,65,47%,,94,42%,52,34%,146,39%
2016,nunavut,7,13,1,Tyson Komaksiutiksak,Right,Third,,38,41%,48,41%,86,41%,,23,41%,39,57%,62,51%,,61,41%,87,48%,148,45%
2016,nunavut,7,13,1,Javen Komaksiutiksak,Right,Second,,53,48%,40,62%,93,54%,,23,63%,32,54%,55,58%,,76,53%,72,58%,148,55%
2016,nunavut,7,13,1,Ryan Aggark,Right,Lead,,70,43%,51,55%,121,48%,,15,77%,11,41%,26,62%,,85,49%,62,52%,147,51%
2016,ontario,3,15,1,Doug Kee,,Fourth,,28,76%,45,64%,73,68%,,50,92%,55,82%,105,87%,,78,86%,100,74%,178,79%
2016,ontario,3,15,1,Jason Camm,Right,Third,,28,81%,42,79%,70,80%,,48,85%,64,90%,112,88%,,76,84%,106,86%,182,85%
2016,ontario,3,15,1,Curtis Easter,Right,Lead,,30,86%,115,90%,145,89%,,10,83%,15,70%,25,75%,,40,85%,130,88%,170,87%
2016,prince edward island,5,15,1,Matthew MacLean,,Fourth,,43,70%,46,65%,89,67%,,38,66%,30,79%,68,72%,,81,68%,76,70%,157,69%
2016,prince edward island,5,15,1,Alan MacLean,,Third,,27,72%,42,68%,69,70%,,47,79%,44,66%,91,73%,,74,77%,86,67%,160,71%
2016,prince edward island,5,15,1,Noah O'Connor,Right,Second,,33,70%,62,66%,95,68%,,29,50%,36,61%,65,56%,,62,61%,98,64%,160,63%
2016,prince edward island,5,15,1,Jordan MacLean,,Lead,,102,75%,35,70%,137,74%,,11,64%,9,58%,20,61%,,113,74%,44,68%,157,72%
2016,quebec,2,15,1,Nick den Hartog,Right,Third,,30,66%,46,71%,76,69%,,45,74%,67,81%,112,78%,,75,71%,113,77%,188,74%
2016,quebec,2,15,1,Maxence Martel,Right,Second,,36,78%,45,71%,81,74%,,43,88%,64,83%,107,85%,,79,84%,109,78%,188,80%
2016,quebec,2,15,1,Émile Asselin,Right,Lead,,43,80%,115,80%,158,80%,,14,63%,15,87%,29,75%,,57,76%,130,81%,187,79%
2016,saskatchewan,4,15,1,Jacob Hersikorn,Right,Fourth,,35,83%,37,76%,72,80%,,50,86%,60,78%,110,82%,,85,84%,97,78%,182,81%
2016,saskatchewan,4,15,1,Brady Kendel,Right,Third,,42,68%,38,80%,80,74%,,49,84%,61,81%,110,83%,,91,77%,99,81%,190,79%
2016,saskatchewan,4,15,1,Nicklas Neufeld,,Lead,,102,88%,46,89%,148,88%,,11,84%,27,94%,38,91%,,113,87%,73,90%,186,89%
2016,yukon,7,13,1,Brayden Klassen,Right,Fourth,,34,43%,38,53%,72,48%,,39,71%,37,65%,76,68%,,73,58%,75,59%,148,58%
2016,yukon,7,13,1,Spencer Wallace,Right,Third,,28,54%,38,59%,66,57%,,34,71%,50,74%,84,73%,,62,63%,88,67%,150,66%
2016,yukon,7,13,1,Trygg Jensen,Right,Second,,29,69%,53,67%,82,68%,,30,70%,38,79%,68,75%,,59,69%,91,72%,150,71%
2016,yukon,7,13,1,William Klassen,Right,Lead,,46,66%,72,63%,118,64%,,17,47%,15,58%,32,52%,,63,61%,87,62%,150,62%
